id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
25674366,9038810,Brooklyn,Williamsburg,40.71577,-73.9553,Entire home/apt,295,3,11,0.87,1,1
19100971,81745867,Manhattan,Washington Heights,40.84917,-73.94048,Private room,70,2,2,0.16,1,0
24209867,1218837,Brooklyn,Bedford-Stuyvesant,40.68993,-73.95947,Private room,58,2,0,0.0,2,0
22451798,4126686,Brooklyn,Bedford-Stuyvesant,40.68427,-73.93118,Entire home/apt,75,3,87,4.91,1,267
5344850,27698133,Queens,Woodside,40.74705,-73.89564,Private room,38,5,13,0.25,1,0
20761404,51501835,Manhattan,Hell's Kitchen,40.76354,-73.99283,Entire home/apt,100,30,3,0.21,31,270
35318634,7933261,Manhattan,Upper East Side,40.76786,-73.95639,Entire home/apt,260,7,1,1.0,1,43
15952702,1499220,Manhattan,West Village,40.73316,-74.00476,Entire home/apt,147,1,42,1.32,1,4
10886628,56412357,Brooklyn,Greenpoint,40.72527,-73.94803,Private room,34,1,0,0.0,1,0
22108302,123605746,Brooklyn,Crown Heights,40.6752,-73.94366,Private room,65,1,0,0.0,1,0
13857312,12485770,Manhattan,East Village,40.729,-73.98098,Entire home/apt,125,30,6,0.24,9,150
32485922,200380610,Manhattan,Theater District,40.76193,-73.98573,Entire home/apt,310,30,0,0.0,65,338
34894939,221645033,Brooklyn,Bushwick,40.69867,-73.91968,Private room,50,1,0,0.0,5,329
30325586,26671786,Manhattan,East Village,40.7233,-73.97882,Private room,79,1,4,0.61,1,0
35197041,263883589,Brooklyn,Boerum Hill,40.68906,-73.98983,Entire home/apt,329,30,1,1.0,2,63
36120293,41829977,Queens,Elmhurst,40.7479,-73.87496,Private room,115,1,0,0.0,2,170
29612355,6814283,Brooklyn,Bushwick,40.70218,-73.93034,Entire home/apt,140,3,3,0.48,1,0
2694274,13788158,Brooklyn,Fort Greene,40.69265,-73.97009,Entire home/apt,225,3,95,1.51,2,112
10131082,51991283,Manhattan,Harlem,40.79865,-73.95295,Private room,149,1,0,0.0,5,281
34337649,70528858,Brooklyn,Sheepshead Bay,40.60111,-73.95702,Private room,50,2,7,3.82,1,124
35448514,266726110,Manhattan,Harlem,40.80485,-73.9581,Private room,88,30,0,0.0,7,364
31113241,11082255,Queens,Flushing,40.75644,-73.82875,Entire home/apt,200,2,1,0.16,1,0
14763045,54743212,Brooklyn,Williamsburg,40.71588,-73.94297,Entire home/apt,160,14,4,0.12,1,0
27681497,38956453,Brooklyn,Bedford-Stuyvesant,40.6844,-73.9358,Entire home/apt,125,2,51,5.03,1,89
1391683,7474069,Manhattan,Washington Heights,40.8469,-73.94522,Private room,75,4,14,0.23,3,0
30009035,225571766,Queens,Jackson Heights,40.75068,-73.87739,Private room,80,2,5,2.5,1,57
6992939,1281637,Brooklyn,Fort Greene,40.6873,-73.97225,Entire home/apt,140,2,1,0.02,1,0
